author,repository,total_low_days,total_medium_days,total_high_days,low_period_count,medium_period_count,high_period_count,avg_low,avg_medium,avg_high,min_low,min_medium,min_high,max_low,max_medium,max_high,median_low,median_medium,median_high
atom,atom,1238,1,436,7,1,7,176.85714285714286,1.0,62.285714285714285,1,1,15,609,1,172,129,1,46.0
Requarks,wiki,458,67,24,3,1,2,152.66666666666666,67.0,12.0,34,67,5,362,67,19,62,67,12.0
